TN4270301d_val,TN4270401d_val,TN4270501d_val,TN4270601d_val,TN4270701d_val,TN4270801d_val,TN4270901d_val,TN4271001d_val,TN4271101d_val,TN4271201d_val,TN4271301d_val,TN4271401d_val,TN4271502d_val
35.5945,35.7455,35.5707,35.5678,35.6209,35.4999,35.2795,35.4169,35.1135,35.1701,35.2312,35.3964,35.0375
35.5945,35.7455,35.5707,35.5678,35.6209,35.4999,35.2795,35.4169,35.1135,35.1701,35.2312,35.3964,35.0375
35.6291,35.7698,35.567,35.5666,35.6598,35.5041,35.3028,35.3432,35.1446,35.0874,35.2681,35.3939,35.0241
35.6291,35.7698,35.567,35.5666,35.6598,35.5041,35.3028,35.3432,35.1446,35.0874,35.2681,35.3939,35.0241
35.6606,35.775,35.5613,35.5766,35.6971,35.505,35.3209,35.1677,35.1359,35.0226,35.296,35.3888,35.0081
35.6606,35.775,35.5613,35.5766,35.6971,35.505,35.3209,35.1677,35.1359,35.0226,35.296,35.3888,35.0081
35.7054,35.7853,35.5644,35.5769,35.6938,35.4986,35.3273,35.1429,35.1334,34.9865,35.326,35.4003,34.9809
35.7054,35.7853,35.5644,35.5769,35.6938,35.4986,35.3273,35.1429,35.1334,34.9865,35.326,35.4003,34.9809
35.7806,35.7892,35.5771,35.5773,35.6733,35.4947,35.3218,35.2111,35.1503,34.9837,35.3369,35.4117,34.9624
35.7806,35.7892,35.5771,35.5773,35.6733,35.4947,35.3218,35.2111,35.1503,34.9837,35.3369,35.4117,34.9624
35.9044,35.8038,35.5904,35.5913,35.6344,35.4963,35.3085,35.2502,35.1812,34.9641,35.3352,35.4112,34.9791
35.9044,35.8038,35.5904,35.5913,35.6344,35.4963,35.3085,35.2502,35.1812,34.9641,35.3352,35.4112,34.9791
35.9491,35.8489,35.6127,35.6599,35.6415,35.4945,35.2923,35.2953,35.1804,34.9407,35.3192,35.4087,34.984
35.9491,35.8489,35.6127,35.6599,35.6415,35.4945,35.2923,35.2953,35.1804,34.9407,35.3192,35.4087,34.984
35.9734,35.8914,35.6384,35.6869,35.7007,35.5182,35.2773,35.3136,35.1304,34.9239,35.2827,35.3993,34.9895
35.9734,35.8914,35.6384,35.6869,35.7007,35.5182,35.2773,35.3136,35.1304,34.9239,35.2827,35.3993,34.9895
36.0196,35.9149,35.6521,35.681,35.7237,35.5855,35.2445,35.3198,35.0747,34.9131,35.213,35.3857,34.993
36.0196,35.9149,35.6521,35.681,35.7237,35.5855,35.2445,35.3198,35.0747,34.9131,35.213,35.3857,34.993
36.0712,35.9536,35.6746,35.6828,35.7369,35.543,35.243,35.346,35.0889,34.8916,35.1301,35.3657,35.01
36.0712,35.9536,35.6746,35.6828,35.7369,35.543,35.243,35.346,35.0889,34.8916,35.1301,35.3657,35.01
36.1028,36.0301,35.7506,35.7227,35.7229,35.4353,35.283,35.3527,35.1297,34.8717,35.0504,35.3548,35.0753
36.1028,36.0301,35.7506,35.7227,35.7229,35.4353,35.283,35.3527,35.1297,34.8717,35.0504,35.3548,35.0753
36.1545,36.0296,35.764,35.8425,35.7148,35.2938,35.3067,35.33,35.1399,34.8444,35.0121,35.3445,35.1357
36.1545,36.0296,35.764,35.8425,35.7148,35.2938,35.3067,35.33,35.1399,34.8444,35.0121,35.3445,35.1357
36.1789,36.0286,35.8645,35.8495,35.7078,35.2457,35.351,35.3083,35.0872,34.8374,34.986,35.3334,35.1361
36.1789,36.0286,35.8645,35.8495,35.7078,35.2457,35.351,35.3083,35.0872,34.8374,34.986,35.3334,35.1361
36.2131,36.0302,35.8879,35.886,35.6903,35.3291,35.4058,35.2707,35.0433,34.8249,34.9652,35.3164,35.1162
36.2131,36.0302,35.8879,35.886,35.6903,35.3291,35.4058,35.2707,35.0433,34.8249,34.9652,35.3164,35.1162
36.2127,36.0493,35.8869,35.9186,35.6709,35.4119,35.4706,35.2348,35.0053,34.8152,34.9566,35.3055,35.095
36.2127,36.0493,35.8869,35.9186,35.6709,35.4119,35.4706,35.2348,35.0053,34.8152,34.9566,35.3055,35.095
36.2108,36.0616,35.9023,35.8626,35.6567,35.4855,35.5117,35.2136,34.9258,34.8127,34.9069,35.2874,35.0845
36.2108,36.0616,35.9023,35.8626,35.6567,35.4855,35.5117,35.2136,34.9258,34.8127,34.9069,35.2874,35.0845
36.2154,36.1013,35.9156,35.8103,35.628,35.569,35.5118,35.2214,34.9117,34.8102,34.8609,35.2723,35.0721
36.2154,36.1013,35.9156,35.8103,35.628,35.569,35.5118,35.2214,34.9117,34.8102,34.8609,35.2723,35.0721
36.2148,36.0951,35.9323,35.7798,35.5936,35.6073,35.4276,35.2779,34.9013,34.8018,34.8122,35.2518,34.9781
36.2148,36.0951,35.9323,35.7798,35.5936,35.6073,35.4276,35.2779,34.9013,34.8018,34.8122,35.2518,34.9781
36.2096,36.075,35.9464,35.7244,35.5662,35.6008,35.4129,35.3153,34.9204,34.7893,34.7471,35.2185,34.8757
36.2096,36.075,35.9464,35.7244,35.5662,35.6008,35.4129,35.3153,34.9204,34.7893,34.7471,35.2185,34.8757
36.2012,36.051,35.9379,35.6277,35.5448,35.5576,35.4028,35.2844,34.9408,34.7848,34.7316,35.1665,34.837
36.2012,36.051,35.9379,35.6277,35.5448,35.5576,35.4028,35.2844,34.9408,34.7848,34.7316,35.1665,34.837
36.1863,36.0153,35.8713,35.5436,35.5269,35.5036,35.4288,35.255,34.9596,34.7735,34.7151,35.1131,34.7764
36.1863,36.0153,35.8713,35.5436,35.5269,35.5036,35.4288,35.255,34.9596,34.7735,34.7151,35.1131,34.7764
36.169,35.9785,35.7613,35.4656,35.5072,35.4748,35.4385,35.2244,34.9537,34.7846,34.7094,35.0499,34.7111
36.169,35.9785,35.7613,35.4656,35.5072,35.4748,35.4385,35.2244,34.9537,34.7846,34.7094,35.0499,34.7111
36.1613,35.9569,35.6691,35.4154,35.4914,35.4651,35.4268,35.2027,34.9264,34.7842,34.6792,35.0136,34.6762
36.1613,35.9569,35.6691,35.4154,35.4914,35.4651,35.4268,35.2027,34.9264,34.7842,34.6792,35.0136,34.6762
36.1581,35.9404,35.5894,35.3788,35.4804,35.4488,35.381,35.1648,34.9062,34.7657,34.6329,34.992,34.6511
36.1581,35.9404,35.5894,35.3788,35.4804,35.4488,35.381,35.1648,34.9062,34.7657,34.6329,34.992,34.6511
36.1542,35.9131,35.5596,35.3582,35.4763,35.4369,35.3005,35.0918,34.9002,34.7466,34.5844,34.9786,34.6065
36.1542,35.9131,35.5596,35.3582,35.4763,35.4369,35.3005,35.0918,34.9002,34.7466,34.5844,34.9786,34.6065
36.1457,35.8439,35.5327,35.3325,35.4462,35.4267,35.2433,35.0215,34.8948,34.7563,34.5478,34.9474,34.5728
36.1457,35.8439,35.5327,35.3325,35.4462,35.4267,35.2433,35.0215,34.8948,34.7563,34.5478,34.9474,34.5728
36.1334,35.8007,35.4608,35.3022,35.3946,35.4098,35.2286,34.9842,34.9049,34.7662,34.5296,34.8428,34.5711
36.1334,35.8007,35.4608,35.3022,35.3946,35.4098,35.2286,34.9842,34.9049,34.7662,34.5296,34.8428,34.5711
36.114,35.7854,35.3865,35.2797,35.3282,35.3934,35.215,35.0066,34.9119,34.7642,34.5265,34.8111,34.5596
